ID,Pregunta,Respuesta del usuario,Score %,Clasificación Auto,Clasificación Manual,¿Coincide?
1,¿Qué era el famoso collar de la reina en la historia?,Era un collar de diamantes muy costoso encargado originalmente para María Antonieta.,,,Correcto,
2,¿Qué papel tuvo el cardenal de Rohan en la estafa?,Era un cardenal manipulado para creer que la reina quería que él comprara el collar.,,,Correcto,
3,¿Por qué la reputación de María Antonieta ya estaba dañada antes del escándalo del collar?,Porque circulaban muchos chismes sobre su vida lujosa y alejamiento del pueblo.,,,Parcial,
4,¿Quién era Jeanne de Valois-Saint-Rémy y cómo participó en el engaño?,Era una falsa condesa que planeó la estafa y fingió ser cercana a la reina.,,,Correcto,
5,¿Qué engaño se realizó en los jardines de Versalles durante la noche?,Hicieron que el cardenal creyera reunirse con una mujer disfrazada de María Antonieta.,,,Parcial,
6,¿Por qué los joyeros confiaron en que recibirían el pago del collar?,Porque había un contrato donde parecía que la reina aprobaba la compra.,,,Parcial,
7,¿Qué hizo Jeanne con el collar una vez que lo obtuvo?,Mandó desarmar el collar y vender los diamantes.,,,Correcto,
8,¿Cómo se enteró finalmente María Antonieta de lo que estaba ocurriendo?,Los joyeros acudieron a reclamar el pago y estalló el escándalo.,,,Correcto,
9,¿Qué consecuencias políticas tuvo el caso del collar?,Aumentó el odio hacia la monarquía y debilitó la imagen pública de la reina.,,,Parcial,
10,¿Por qué se considera que el caso del collar influyó en la Revolución Francesa?,Reforzó la idea de que la corte era corrupta y ajena al pueblo.,,,Parcial,
11,¿Qué buscaba el cardenal de Rohan al participar en el escándalo del collar?,Reconquistar el favor político de la reina.,,,Parcial,
12,¿Cómo se usaron las cartas falsas en el plan?,Eran cartas falsificadas para que el cardenal creyera que hablaba con la reina.,,,Parcial,
13,¿Qué papel tuvo la mujer que se hizo pasar por la reina en el jardín?,Solo apareció un momento para engañar al cardenal.,,,Parcial,
14,¿Por qué los joyeros aceptaron rebajar el precio del collar?,Jeanne los convenció de que sería más fácil que la reina pagara luego.,,,Parcial,
15,¿Qué pasó con Jeanne después de que estalló el escándalo?,Fue juzgada públicamente y terminó perdiendo credibilidad.,,,Parcial,
16,¿Qué representaba el collar para la sociedad francesa?,Era un símbolo del exceso y lujo de la nobleza.,,,Parcial,
17,¿Qué muestra el caso del collar sobre la relación entre la corte y el pueblo?,Que había mucha desconfianza hacia la realeza.,,,Parcial,
18,¿Qué oportunidad aprovechó la prensa para criticar a la reina?,El escándalo del collar se usó para atacar su imagen.,,,Parcial,
19,¿Cómo el cardenal de Rohan organizó el engaño a la reina?,Porque Jeanne lo manipuló haciéndole creer que la reina lo quería de vuelta.,,,Incorrecto,
20,¿Qué ocurrió al final con el collar cuando la reina quiso quemarlo?,La reina mandó destruirlo para demostrar inocencia.,,,Incorrecto,
